This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET"
"NMPI","NAMPA",-116.6369,43.4417,803,"AGRIMET"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET"
"010063","ADDISON",-87.1814,34.2031,233,"COOP"
"010160","ALEXANDER CI",-85.9481,32.9453,224,"COOP"
"010178","ALICEVILLE",-88.1269,33.1394,73,"COOP"
"010252","ANDALUSIA 3",-86.5222,31.3067,76,"COOP"
"010260","ANDERSON",-87.2747,34.9092,209,"COOP"
"010402","ATMORE",-87.4389,31.1819,91,"COOP"
"010505","BANKHEAD LOC",-87.3572,33.4528,85,"COOP"
"010583","BAY MINETTE",-87.7875,30.8842,83,"COOP"
"010655","BELLE MINA 2",-86.8825,34.6908,183,"COOP"
"011080","BREWTON 3 EN",-87.0492,31.1414,49,"COOP"
"011084","BREWTON 3 SS",-87.0542,31.0578,26,"COOP"
"011099","BRIDGEPORT 5",-85.8008,34.9786,204,"COOP"
"011490","CENTRE",-85.7017,34.1503,183,"COOP"
"011566","CHATOM",-88.2506,31.4711,46,"COOP"
"011694","CLANTON",-86.6522,32.8200,186,"COOP"
"011725","CLAYTON",-85.4789,31.8844,152,"COOP"
"011803","CODEN",-88.2281,30.3878,4,"COOP"
"012096","CULLMAN NAHS",-86.7972,34.1925,192,"COOP"
"012172","DAUPHIN ISLA",-88.0833,30.2500,2,"COOP"
"012209","DECATUR 5 SE",-86.9539,34.5658,175,"COOP"
"012245","DEMOPOLIS LO",-87.8794,32.5192,30,"COOP"
"012350","DORA",-87.0792,33.7386,109,"COOP"
"012675","ENTERPRISE 5",-85.9014,31.3836,143,"COOP"
"012758","EVERGREEN",-86.9531,31.4447,88,"COOP"
"012813","FAIRHOPE 2 N",-87.8808,30.5467,7,"COOP"
"013043","FORT PAYNE",-85.7236,34.4406,280,"COOP"
"013160","GAINESVILLE",-88.1342,32.8347,38,"COOP"
"013251","GENEVA NO 2",-85.8708,31.0383,44,"COOP"
"013511","GREENSBORO",-87.5808,32.7017,67,"COOP"
"013519","GREENVILLE",-86.6147,31.7947,104,"COOP"
"013573","GUNTERSVILLE",-86.3297,34.3344,176,"COOP"
"013575","GUNTERSVILLE",-86.3294,34.3347,181,"COOP"
"013645","HAMILTON 3 S",-87.9914,34.0967,133,"COOP"
"013655","HANCEVILLE",-86.7625,34.0619,162,"COOP"
"014193","JACKSON",-87.9278,31.5250,67,"COOP"
"014226","JASPER",-87.3150,33.9053,148,"COOP"
"014502","LAFAYETTE 2",-85.4336,32.9069,226,"COOP"
"015121","MARION JUNCT",-87.2306,32.4714,61,"COOP"
"015439","MILSTEAD",-85.8889,32.4419,66,"COOP"
"015635","MOULTON 2",-87.2933,34.4856,197,"COOP"
"016121","ONEONTA",-86.4692,33.9478,272,"COOP"
"016129","OPELIKA",-85.4492,32.6592,195,"COOP"
"016196","OWENS CROSS",-86.4453,34.5528,180,"COOP"
"016988","ROBERTSDALE",-87.7017,30.5650,49,"COOP"
"017207","SAND MT SUBS",-85.9692,34.2872,335,"COOP"
"017304","SCOTTSBORO",-86.0536,34.6736,187,"COOP"
"017366","SELMA",-87.0153,32.4100,24,"COOP"
"017999","SYLACAUGA 4",-86.2114,33.2053,149,"COOP"
"018024","TALLADEGA",-86.1350,33.4164,137,"COOP"
"018178","THOMASVILLE",-87.8833,31.5411,123,"COOP"
"018438","UNION SPRING",-85.7464,32.0142,134,"COOP"
"018517","VERNON",-88.1275,33.7392,91,"COOP"
"018998","WINFIELD 2 S",-87.8475,33.9111,143,"COOP"
"020060","AGUILA",-113.1875,33.9433,660,"COOP"
"020080","AJO",-112.8617,32.3686,549,"COOP"
"020100","ALAMO DAM",-113.5778,34.2281,393,"COOP"
"020404","ARIZONA CITY",-111.6928,32.7597,456,"COOP"
"020586","BAGDAD",-113.1739,34.5972,1205,"COOP"
"020672","BEAVER DAM",-113.9425,36.8969,572,"COOP"
"020683","BENSON 6 SE",-110.2403,31.8803,1125,"COOP"
"020808","BLACK RIVER",-109.7517,33.4783,1849,"COOP"
"021314","CASA GRANDE",-111.5367,32.9947,433,"COOP"
"021330","CASCABEL",-110.4131,32.3208,959,"COOP"
"021654","CHINO VALLEY",-112.4567,34.7569,1448,"COOP"
"022480","DESTINY RANC",-110.7311,32.2842,829,"COOP"
"022527","DIAMOND M RA",-113.3669,35.2967,1670,"COOP"
"023150","FORT THOMAS",-110.0022,33.0194,853,"COOP"
"023190","FOUNTAIN HIL",-111.7131,33.6028,482,"COOP"
"023501","GLOBE #3",-110.7933,33.3947,1116,"COOP"
"023668","GREEN VALLEY",-110.9978,31.8931,884,"COOP"
"024453","JEROME",-112.1114,34.7522,1509,"COOP"
"024534","KARTCHNER CA",-110.3550,31.8350,1430,"COOP"
"024586","KEAMS CANYON",-110.1917,35.8111,1891,"COOP"
"024675","KITT PEAK",-111.5972,31.9600,2070,"COOP"
"024761","LAKE HAVASU",-114.3600,34.5028,143,"COOP"
"025412","MC NARY 2 N",-109.8589,34.1142,2237,"COOP"
"025426","MEADVIEW 1SE",-114.0511,36.0033,975,"COOP"
"025494","METEOR CRATE",-111.0167,35.0333,1584,"COOP"
"025635","MONTEZUMA CA",-111.8381,34.6106,969,"COOP"
"025924","NOGALES 6 N",-110.9642,31.4447,1085,"COOP"
"026242","PARADISE",-109.2167,31.9333,1656,"COOP"
"026513","PICACHO 8 SE",-111.4014,32.6467,558,"COOP"
"026601","PINETOP 2E",-109.9219,34.1242,2195,"COOP"
"026616","PIPE SPRINGS",-112.7386,36.8586,1500,"COOP"
"026796","PRESCOTT",-112.4322,34.5706,1586,"COOP"
"026840","PUNKIN CENTE",-111.3064,33.8556,709,"COOP"
"027281","ROOSEVELT 1",-111.1508,33.6731,672,"COOP"
"027390","SAFFORD AGRI",-109.6808,32.8150,900,"COOP"
"027398","SAGUARO NAT'",-110.7369,32.1797,936,"COOP"
"027480","SAN CARLOS R",-110.5261,33.1819,772,"COOP"
"027619","SASABE",-111.5436,31.4831,1094,"COOP"
"028326","SUNRISE MOUN",-109.5631,33.9733,2856,"COOP"
"028396","TACNA 3 NE",-113.9192,32.7225,99,"COOP"
"028590","TOHONO CHUL",-110.9808,32.3392,770,"COOP"
"028619","TOMBSTONE",-110.0569,31.7056,1405,"COOP"
"028795","TUCSON 17 NW",-111.1961,32.2542,781,"COOP"
"028865","TUMACACORI N",-111.0497,31.5678,996,"COOP"
"029156","WALNUT CANYO",-111.5067,35.1706,2038,"COOP"
"029309","WIKIEUP",-113.6136,34.7061,613,"COOP"
"029334","WILLCOX",-109.8497,32.2611,1279,"COOP"
"029542","WUPATKI NM",-111.3703,35.5247,1496,"COOP"
"029645","YUCCA 1 NNE",-114.1344,34.8775,594,"COOP"
"029656","YUMA QUARTER",-114.6217,32.7278,49,"COOP"
"030130","ALUM FORK",-92.8417,34.7961,213,"COOP"
"030220","ARKADELPHIA",-93.0589,34.1433,60,"COOP"
"030286","ASHDOWN 4 SS",-94.0997,33.6192,98,"COOP"
"030458","BATESVILLE L",-91.7944,35.8306,174,"COOP"
"030460","BATESVILLE L",-91.6389,35.7600,88,"COOP"
"030582","BENTON",-92.6006,34.5675,94,"COOP"
"030664","BIG FORK 1 S",-93.9567,34.4692,335,"COOP"
"030764","BLAKELY MOUN",-93.1947,34.5697,130,"COOP"
"030798","BLUE MOUNTAI",-93.6506,35.1161,130,"COOP"
"030832","BOONEVILLE 3",-93.9089,35.1047,213,"COOP"
"030936","BRINKLEY",-91.1878,34.8825,61,"COOP"
"031102","CABOT 4 SW",-92.0064,34.9817,91,"COOP"
"031132","CALICO ROCK",-92.1636,36.1092,107,"COOP"
"031140","CALION LOCK",-92.4850,33.3047,30,"COOP"
"031152","CAMDEN 1",-92.8236,33.5900,35,"COOP"
"031191","CANE CREEK S",-91.7711,33.9153,79,"COOP"
"031457","CLARKSVILLE",-93.4036,35.5328,259,"COOP"
"031459","CLARKSVILLE",-93.4425,35.4564,189,"COOP"
"031596","CONWAY",-92.4289,35.0842,96,"COOP"
"031632","CORNING",-90.5858,36.4197,85,"COOP"
"031730","CROSSETT 2 S",-91.9492,33.1111,39,"COOP"
"031910","DEGRAY LAKE",-93.1486,34.2531,149,"COOP"
"031948","DEQUEEN",-94.3481,34.0464,121,"COOP"
"031962","DERMOTT 3 NE",-91.3847,33.5594,44,"COOP"
"031968","DES ARC",-91.4978,34.9772,61,"COOP"
"032366","EVENING SHAD",-91.6142,36.0811,152,"COOP"
"032540","FORDYCE",-92.4322,33.8228,70,"COOP"
"032794","GILBERT",-92.7147,35.9914,189,"COOP"
"032978","GREERS FERRY",-91.9997,35.5206,161,"COOP"
"033132","HARDY",-91.5056,36.2747,201,"COOP"
"033242","HELENA",-90.5903,34.5211,59,"COOP"
"033428","HOPE 3 NE",-93.5561,33.7089,114,"COOP"
"033466","HOT SPRINGS",-93.0522,34.5144,207,"COOP"
"033734","JONESBORO 2",-90.6881,35.8486,96,"COOP"
"033821","KEISER",-90.0964,35.6872,71,"COOP"
"033862","KEO",-92.0072,34.6053,70,"COOP"
"033909","KINGSTON 2S",-93.5206,36.0086,654,"COOP"
"034106","LEAD HILL",-92.9094,36.4211,226,"COOP"
"034134","LEOLA",-92.5947,34.1742,78,"COOP"
"034185","LEWISVILLE",-93.5678,33.3614,104,"COOP"
"034548","MAGNOLIA",-93.2336,33.2506,97,"COOP"
"034562","MALVERN",-92.8283,34.3817,95,"COOP"
"034572","MAMMOTH SPRI",-91.5350,36.4947,153,"COOP"
"034638","MARIANNA 2 S",-90.7661,34.7336,71,"COOP"
"034711","MCCRORY",-91.1947,35.2658,66,"COOP"
"034756","MENA",-94.2494,34.5731,344,"COOP"
"034938","MORRILTON",-92.7672,35.1581,104,"COOP"
"035018","MOUNTAINBURG",-94.1542,35.6494,242,"COOP"
"035036","MOUNTAIN HOM",-92.3939,36.3458,244,"COOP"
"035046","MOUNTAIN VIE",-92.1042,35.9147,238,"COOP"
"035079","MURFREESBORO",-93.7019,34.0783,121,"COOP"
"035112","NASHVILLE",-93.8514,33.9303,122,"COOP"
"035186","NEWPORT",-91.2744,35.6042,69,"COOP"
"035512","OZARK 2",-93.8683,35.5125,253,"COOP"
"035563","PARAGOULD 1",-90.4978,36.0336,82,"COOP"
"035754","PINE BLUFF",-92.0189,34.2256,66,"COOP"
"035820","POCAHONTAS 1",-90.9681,36.2639,96,"COOP"
"035831","POINSETT STA",-90.6872,35.5325,105,"COOP"
"035866","PORTLAND",-91.5044,33.2381,37,"COOP"
"035908","PRESCOTT",-93.3767,33.7975,94,"COOP"
"036253","ROHWER 2 NNE",-91.2703,33.8100,46,"COOP"
"036353","STEPROCK",-91.6469,35.4156,132,"COOP"
"036376","SAINT CHARLE",-91.1272,34.3767,61,"COOP"
"036403","SALEM",-91.8036,36.3561,207,"COOP"
"036506","SEARCY",-91.7164,35.2683,70,"COOP"
"036768","SPARKMAN",-92.8267,33.9153,52,"COOP"
"036920","STUTTGART 9",-91.4172,34.4744,60,"COOP"
"036928","SUBIACO",-93.6369,35.3028,152,"COOP"
"037488","WALDRON",-94.1942,34.8992,206,"COOP"
"037963","WINSLOW 7NE",-94.0203,35.8550,667,"COOP"
"038052","WYNNE",-90.7964,35.2547,79,"COOP"
"040176","AMBOY",-115.7500,34.5667,195,"COOP"
"040232","ANTIOCH PUMP",-121.7458,37.9856,18,"COOP"
"040332","ARVIN",-118.8333,35.2000,137,"COOP"
"040343","ASH MOUNTAIN",-118.8253,36.4914,521,"COOP"
"040383","AUBURN",-121.0839,38.9072,394,"COOP"
"040444","BAKERSFIELD",-119.0508,35.4186,143,"COOP"
"040693","BERKELEY",-122.2589,37.8744,94,"COOP"
"040738","BIG BAR 4 E",-123.2081,40.7403,381,"COOP"
"040924","BLYTHE",-114.5972,33.6131,82,"COOP"
"040931","BOCA",-120.0936,39.3886,1699,"COOP"
"040983","BORREGO DESE",-116.4144,33.2314,245,"COOP"
"041214","BURNEY",-121.6783,40.8792,975,"COOP"
"041244","BUTTONWILLOW",-119.4731,35.4047,82,"COOP"
"041277","CALAVERAS BI",-120.3114,38.2769,1431,"COOP"
"041614","CEDARVILLE",-120.1736,41.5336,1423,"COOP"
"041697","CHERRY VALLE",-119.9161,37.9747,1452,"COOP"
"041700","CHESTER",-121.2422,40.3033,1381,"COOP"
"041738","CHIRIACO SUM",-115.7206,33.6617,520,"COOP"
"041806","CLEARLAKE 4",-122.5672,38.9239,411,"COOP"
"041864","COALINGA",-120.3606,36.1356,204,"COOP"
"041948","COLUSA 2 SSW",-122.0297,39.1806,15,"COOP"
"041990","COPCO NO 1 D",-122.3378,41.9797,824,"COOP"
"042239","CUYAMACA",-116.5872,32.9897,1414,"COOP"
"042294","DAVIS 2 WSW",-121.7761,38.5350,18,"COOP"
"042319","DEATH VALLEY",-116.8669,36.4622,-54,"COOP"
"042346","DELANO",-119.2367,35.7700,98,"COOP"
"042467","DONNER MEMOR",-120.2331,39.3239,1810,"COOP"
"042574","DUNSMUIR TRE",-122.2736,41.1833,661,"COOP"
"042598","EAGLE MOUNTA",-115.4508,33.8089,297,"COOP"
"042709","EL CAPITAN D",-116.8164,32.8839,183,"COOP"
"042713","EL CENTRO 2",-115.5617,32.7669,-9,"COOP"
"042934","FAIRFIELD",-122.0681,38.2736,12,"COOP"
"042941","FAIRMONT",-118.4275,34.7042,933,"COOP"
"043191","FORT ROSS",-123.2442,38.5147,34,"COOP"
"043256","FRESNO 5 NE",-119.7017,36.7525,100,"COOP"
"043261","FRIANT GOVER",-119.7072,36.9969,125,"COOP"
"043384","GEORGETOWN R",-120.8008,38.9331,915,"COOP"
"043392","GETTY CENTER",-118.4786,34.0869,336,"COOP"
"043463","GLENNVILLE",-118.7006,35.7269,957,"COOP"
"043551","GRANT GROVE",-118.9631,36.7394,2012,"COOP"
"043573","GRASS VALLEY",-121.0681,39.2042,732,"COOP"
"043578","GRATON",-122.8650,38.4306,61,"COOP"
"043669","GROVELAND 2",-120.2258,37.8444,853,"COOP"
"043710","HAIWEE",-117.9528,36.1389,1166,"COOP"
"043747","HANFORD 1 S",-119.6356,36.3219,75,"COOP"
"043824","HAT CREEK",-121.5433,40.9317,919,"COOP"
"043855","HAYFIELD PUM",-115.6289,33.7044,418,"COOP"
"043914","HENSHAW DAM",-116.7614,33.2372,823,"COOP"
"043939","HETCH HETCHY",-119.7831,37.9614,1180,"COOP"
"044025","HOLLISTER 2",-121.4222,36.8486,84,"COOP"
"044223","IMPERIAL",-115.5667,32.8489,-20,"COOP"
"044232","INDEPENDENCE",-118.2036,36.7981,1204,"COOP"
"044297","IRON MOUNTAI",-115.1219,34.1472,281,"COOP"
"044303","IRVINE RANCH",-117.7231,33.7200,165,"COOP"
"044374","JESS VALLEY",-120.2947,41.2683,1646,"COOP"
"044405","JOSHUA TREE",-116.3167,34.1333,830,"COOP"
"044412","JULIAN CDF",-116.5925,33.0764,1285,"COOP"
"044534","KETTLEMAN CI",-119.9600,36.0042,73,"COOP"
"044712","LAKE SOLANO",-122.0039,38.4919,58,"COOP"
"044863","LEBEC",-118.8650,34.8328,1093,"COOP"
"044890","LEMON COVE",-119.0264,36.3817,156,"COOP"
"044957","LINDSAY",-119.0581,36.2033,128,"COOP"
"045026","LODGEPOLE",-118.7325,36.6044,2053,"COOP"
"045100","LORAINE 5 NN",-118.4122,35.3836,1291,"COOP"
"045118","LOS BANOS",-120.8697,37.0533,37,"COOP"
"045233","MADERA",-120.0378,36.9539,82,"COOP"
"045280","MAMMOTH LAKE",-118.9617,37.6478,2379,"COOP"
"045311","MANZANITA LA",-121.5764,40.5419,1753,"COOP"
"045360","MARKLEY COVE",-122.1261,38.4939,146,"COOP"
"045378","MARTINEZ WAT",-122.1142,38.0131,12,"COOP"
"045532","MERCED",-120.5117,37.2858,47,"COOP"
"045802","MONTEREY NWS",-121.8556,36.5925,37,"COOP"
"045860","MORONGO VALL",-116.5622,34.0864,959,"COOP"
"045866","MORRO BAY FI",-120.8447,35.3669,35,"COOP"
"045915","MOUNT DIABLO",-121.9303,37.8792,661,"COOP"
"046006","MT WILSON NO",-118.0664,34.2267,1747,"COOP"
"046027","MUIR WOODS",-122.5653,37.8908,67,"COOP"
"046136","NEVADA CITY",-121.0008,39.2467,848,"COOP"
"046144","NEWARK",-122.0325,37.5147,3,"COOP"
"046161","NEWHALL 5NW",-118.5939,34.3933,538,"COOP"
"046174","NEW MELONES",-120.4864,38.0047,293,"COOP"
"046263","NORTHRIDGE C",-118.5300,34.2381,261,"COOP"
"046336","OAKLAND MUSE",-122.2642,37.7983,9,"COOP"
"046399","OJAI",-119.2275,34.4478,227,"COOP"
"046506","ORLAND",-122.1997,39.7458,77,"COOP"
"046521","OROVILLE",-121.5531,39.5178,52,"COOP"
"046572","OXNARD WSFO",-119.1386,34.2114,19,"COOP"
"046597","PACIFIC HOUS",-120.5033,38.7581,1049,"COOP"
"046635","PALM SPRINGS",-116.5097,33.8275,130,"COOP"
"046646","PALO ALTO",-122.1394,37.4436,8,"COOP"
"046699","PARKER RESER",-114.1708,34.2903,225,"COOP"
"046730","PASO ROBLES",-120.6856,35.6278,213,"COOP"
"046943","PISMO BEACH",-120.6817,35.1594,12,"COOP"
"047050","POMONA FAIRP",-117.7656,34.0811,317,"COOP"
"047085","PORTOLA",-120.4719,39.8053,1478,"COOP"
"047195","QUINCY",-120.9475,39.9367,1042,"COOP"
"047253","RANDSBURG",-117.6525,35.3692,1088,"COOP"
"047339","REDWOOD CITY",-122.2386,37.4767,9,"COOP"
"047643","SAINT HELENA",-122.4739,38.5072,69,"COOP"
"047672","SALINAS DAM",-120.5039,35.3369,379,"COOP"
"047785","SAN GABRIEL",-118.1000,34.1061,137,"COOP"
"047880","SAN RAFAEL C",-122.5372,37.9983,37,"COOP"
"047933","SANTA MARGAR",-120.6375,35.3742,335,"COOP"
"048122","SHAFTER 6E",-119.1458,35.4867,123,"COOP"
"048135","SHASTA DAM",-122.4161,40.7142,328,"COOP"
"048353","SONORA RS",-120.3872,37.9672,511,"COOP"
"048380","SOUTH ENTR Y",-119.6489,37.5072,1561,"COOP"
"048587","STONY GORGE",-122.5342,39.5861,244,"COOP"
"048606","STRAWBERRY V",-121.1078,39.5631,1161,"COOP"
"048713","SUTTER HILL",-120.8008,38.3772,483,"COOP"
"048758","TAHOE CITY",-120.1428,39.1678,1899,"COOP"
"048829","TEHACHAPI 4",-118.4222,35.1011,1286,"COOP"
"049026","TRINITY RIVE",-122.7947,40.7264,567,"COOP"
"049035","TRONA",-117.3908,35.7636,517,"COOP"
"049063","TUOLUMNE MEA",-119.3500,37.8833,2638,"COOP"
"049351","VINTON",-120.1858,39.8056,1522,"COOP"
"049367","VISALIA",-119.2992,36.3283,91,"COOP"
"049452","WASCO",-119.3531,35.5975,92,"COOP"
"049473","WATSONVILLE",-121.7689,36.9306,29,"COOP"
"049621","WHISKEYTOWN",-122.5281,40.6117,395,"COOP"
"049781","WOODLAND 1 W",-121.7942,38.6828,21,"COOP"
"049855","YOSEMITE PAR",-119.5897,37.7500,1209,"COOP"
"049866","YREKA",-122.6408,41.7036,800,"COOP"
"050109","AKRON 4 E",-103.1417,40.1550,1384,"COOP"
"050128","ALAMOSA 2S",-105.8614,37.4417,2296,"COOP"
"050263","ANTERO RESER",-105.8919,38.9933,2719,"COOP"
"050306","ARAPAHOE 12S",-102.1611,38.6842,1248,"COOP"
"050372","ASPEN 1 SW",-106.8361,39.1881,2488,"COOP"
"050454","BAILEY",-105.4767,39.4047,2356,"COOP"
"050754","BLACK CANYON",-107.6869,38.5547,2484,"COOP"
"050756","BLACK FOREST",-104.8017,39.0292,2120,"COOP"
"050797","BLUE MESA LA",-107.1678,38.4667,2316,"COOP"
"050834","BONNY DAM 2N",-102.1183,39.6569,1133,"COOP"
"050950","BRIGHTON 3 S",-104.8361,39.9436,1529,"COOP"
"051071","BUENA VISTA",-106.1275,38.8247,2422,"COOP"
"051121","BURLINGTON 4",-102.2781,39.2378,1265,"COOP"
"051186","CABIN CREEK",-105.7089,39.6553,3054,"COOP"
"051268","CAMPO 7 S",-102.5550,37.0158,1255,"COOP"
"051294","CANON CITY",-105.2256,38.4600,1636,"COOP"
"051443","CEDAREDGE 3",-107.8922,38.9028,2082,"COOP"
"051528","CHEESMAN",-105.2783,39.2203,2097,"COOP"
"051539","CHERAW 1 N",-103.5100,38.1150,1264,"COOP"
"051564","CHEYENNE WEL",-102.3608,38.8178,1295,"COOP"
"051620","CLARKVILLE 1",-102.6267,40.4150,1234,"COOP"
"051660","CLIMAX",-106.1897,39.3672,3442,"COOP"
"051713","COCHETOPA CR",-106.7611,38.4461,2438,"COOP"
"051743","COLLBRAN 2SW",-107.9797,39.2367,1859,"COOP"
"051772","COLORADO NAT",-108.7339,39.1014,1762,"COOP"
"051886","CORTEZ",-108.5931,37.3444,1828,"COOP"
"051932","CRAIG 4 SW",-107.5894,40.4506,1963,"COOP"
"051948","CREEDE WTP",-106.9319,37.8256,2629,"COOP"
"051959","CRESTED BUTT",-106.9764,38.8742,2698,"COOP"
"051977","CRIPPLE CREE",-105.2003,38.7956,2815,"COOP"
"051996","CROOK",-102.8031,40.8600,1131,"COOP"
"052184","DEL NORTE 2",-106.3247,37.6742,2437,"COOP"
"052196","DELTA 3E",-108.0278,38.7539,1527,"COOP"
"052223","DENVER WATER",-105.0083,39.7294,1593,"COOP"
"052228","DENVER MUSEU",-104.9425,39.7489,1618,"COOP"
"052281","DILLON 1 E",-106.0353,39.6261,2763,"COOP"
"052342","DOVE CREEK",-108.9119,37.7672,2086,"COOP"
"052441","DURANGO",-107.8528,37.2917,2057,"COOP"
"052446","EADS",-102.7808,38.4775,1285,"COOP"
"052668","ELLICOTT 7S",-104.3994,38.7403,1749,"COOP"
"052761","ESTES PARK 1",-105.5108,40.3689,2373,"COOP"
"052790","EVERGREEN",-105.3150,39.6381,2129,"COOP"
"052816","FAIRPLAY S P",-105.9936,39.2219,3046,"COOP"
"052932","FLAGLER 1S",-103.0614,39.2814,1500,"COOP"
"052947","FLEMING 3 SW",-102.8631,40.6425,1297,"COOP"
"053038","FT MORGAN",-103.8156,40.2600,1329,"COOP"
"053258","GENOA",-103.4958,39.2775,1709,"COOP"
"053261","GEORGETOWN",-105.6967,39.7156,2597,"COOP"
"053307","GLADE PARK 1",-109.0528,38.9539,1946,"COOP"
"053359","GLENWOOD SPG",-107.3172,39.5181,1792,"COOP"
"053446","GOULD 4SE S.",-106.0056,40.5092,2743,"COOP"
"053489","GRAND JUNCTI",-108.4664,39.0422,1451,"COOP"
