bird,Sp,Mo,Day,Yr,Hr,Min,Fix,OBSLoC,Y,X,RawBear,AdjBear,Bars,Sig,notes,
2,Willisornis poecilinotus,6,9,2011,8,42,A1,I11,9729708,192166,259,274,270,M,,
2,Willisornis poecilinotus,6,9,2011,8,45,A1,IJ11,9729702,192109,240,255,260,M,,
2,Willisornis poecilinotus,6,9,2011,8,48,A1,J11,9729703,192061,158,173,270,M,,
2,Willisornis poecilinotus,6,9,2011,10,18,,J11.5,9729750,192063,177,192,5,S,Pithys albifrons 7 caught at camp,
2,Willisornis poecilinotus,6,9,2011,10,22,E8,J11,9729703,192061,182,197,3,M,,
2,Willisornis poecilinotus,6,9,2011,10,25,E8,J10.6,9729664,192048,162,177,2,M,,
2,Willisornis poecilinotus,6,9,2011,10,28,E8,IJ11,9729702,192109,190,205,3,S,,
2,Willisornis poecilinotus,6,9,2011,10,31,E8,I11,9729708,192166,232,247,3,M,,
2,Willisornis poecilinotus,6,9,2011,10,34,E8,I10.5,9729654,192157,263,278,3,S,,
2,Willisornis poecilinotus,6,9,2011,10,50,E9,I10,9729608,192153,248,263,4,S,,
2,Willisornis poecilinotus,6,9,2011,10,53,E9,I9.5,9729552,192149,305,320,3,M,Moved after this,
2,Willisornis poecilinotus,6,9,2011,11,15,,J11,9729703,192061,185,200,5,M,,
2,Willisornis poecilinotus,6,9,2011,11,19,,J10.6,9729664,192048,155,170,3,M,,
2,Willisornis poecilinotus,6,9,2011,11,22,,J10,9729636,192050,175,190,3,M,,
2,Willisornis poecilinotus,6,9,2011,11,41,E10,IIJ9,9729502,192082,38,53,3,M,IIJ9 = 45 steps east of J9--too much blocking the trail,
2,Willisornis poecilinotus,6,9,2011,11,43,E10,J9,9729500,192031,81,96,4,M,,
2,Willisornis poecilinotus,6,9,2011,11,45,E10,J9.5,9729576,192043,132,147,4,M,,
2,Willisornis poecilinotus,6,9,2011,12,10,E11,J10,9729636,192050,144,159,3,M,,
2,Willisornis poecilinotus,6,9,2011,12,13,E11,J9.5,9729576,192043,88,103,3,M,,
2,Willisornis poecilinotus,6,9,2011,12,17,E11,J9,9729500,192031,57,72,3,M,"At 13:44 checked for all Pithys at J9--no signals. Possible bivouac found at 13:30, ~10m south of J10, placed pink flagging, bivouac less than 5m east of flag.",
2,Willisornis poecilinotus,6,12,2011,7,42,E12,I11,9729708,192166,216,231,4,S,,
2,Willisornis poecilinotus,6,12,2011,7,46,E12,I10,9729608,192153,243,258,3,M,,
2,Willisornis poecilinotus,6,12,2011,7,50,E12,I9.5,9729552,192149,324,339,3,S,,
2,Willisornis poecilinotus,6,12,2011,8,6,E13,I9.5,9729552,192149,323,338,3,M,,
2,Willisornis poecilinotus,6,12,2011,8,9,E13,I10,9729608,192153,261,276,3,M,,
2,Willisornis poecilinotus,6,12,2011,8,12,E13,I11,9729708,192166,219,234,3,M,,
2,Willisornis poecilinotus,6,12,2011,8,14,E13,IJ11,9729702,192109,202,217,4,M,,
2,Willisornis poecilinotus,6,12,2011,8,33,E14,IJ11,9729702,192109,219,234,4,M,,
2,Willisornis poecilinotus,6,12,2011,8,36,E14,I10.5,9729654,192157,256,271,4,M,,
2,Willisornis poecilinotus,6,12,2011,8,41,E14,I9.5,9729552,192149,330,345,3,M,,
2,Willisornis poecilinotus,6,12,2011,8,56,E15,I9.5,9729552,192149,348,3,3,M,,
2,Willisornis poecilinotus,6,12,2011,8,59,E15,I10,9729608,192153,248,263,3,M,,
2,Willisornis poecilinotus,6,12,2011,9,2,E15,I11,9729708,192166,240,255,4,M,,
2,Willisornis poecilinotus,6,12,2011,9,4,E15,IJ11,9729702,192109,191,206,4,M,,
2,Willisornis poecilinotus,6,12,2011,9,22,E16,IJ11,9729702,192109,199,214,5,M,,
2,Willisornis poecilinotus,6,12,2011,9,24,E16,I11,9729708,192166,220,235,5,M,,
2,Willisornis poecilinotus,6,12,2011,9,28,E16,I10,9729608,192153,247,262,3,M,,
2,Willisornis poecilinotus,6,12,2011,9,31,E16,I9.5,9729552,192149,339,354,3,M,,
2,Willisornis poecilinotus,6,12,2011,15,36,A2,I11,9729708,192166,166,181,260,S,,
2,Willisornis poecilinotus,6,12,2011,15,38,A2,I10.5,9729654,192157,70,85,270,S,,
2,Willisornis poecilinotus,6,12,2011,15,41,A2,I10,9729608,192153,36,51,270,S,,
2,Willisornis poecilinotus,6,12,2011,16,6,A3,J10.5,9729666,192051,72,87,270,M,,
2,Willisornis poecilinotus,6,12,2011,16,9,A3,J11,9729703,192061,165,180,260,S,chiva na pida,
2,Willisornis poecilinotus,6,12,2011,16,12,A3,I11,9729708,192166,170,185,260,M,chiva ,
2,Willisornis poecilinotus,6,13,2011,11,40,A4,I11,9729708,192166,261,276,230,S,,
2,Willisornis poecilinotus,6,13,2011,11,44,A4,IJ11,9729702,192109,225,240,260,M,,
2,Willisornis poecilinotus,6,13,2011,11,48,A4,J11,9729703,192061,138,153,270,M,,
2,Willisornis poecilinotus,6,13,2011,12,15,A5,I11,9729708,192166,252,267,270,S,,
2,Willisornis poecilinotus,6,13,2011,12,18,A5,I10.5,9729654,192157,282,297,260,M,,
2,Willisornis poecilinotus,6,13,2011,12,21,A5,I10.5,9729654,192157,321,336,270,S,,
2,Willisornis poecilinotus,6,13,2011,12,38,A6,J11,9729703,192061,152,167,270,S,,
2,Willisornis poecilinotus,6,13,2011,12,41,A6,IJ11,9729702,192109,246,261,270,M,,
2,Willisornis poecilinotus,6,13,2011,12,44,A6,I11,9729708,192166,263,278,250,S,,
2,Willisornis poecilinotus,6,14,2011,7,3,,I9.5,9729552,192149,31,46,4,S,,
2,Willisornis poecilinotus,6,14,2011,7,9,,I11,9729708,192166,208,223,3,M,,
2,Willisornis poecilinotus,6,14,2011,7,13,E17,IJ11,9729702,192109,200,215,5,M,,
2,Willisornis poecilinotus,6,14,2011,7,15,E17,J11,9729703,192061,144,159,5,M,,
2,Willisornis poecilinotus,6,14,2011,7,18,E17,J10.6,9729664,192048,83,98,5,M,,
2,Willisornis poecilinotus,6,14,2011,7,37,,I11,9729708,192166,177,192,4,M,Bird caught in Tati's net near I10 at 7:47,
2,Willisornis poecilinotus,6,15,2011,6,44,A7,J11,9729703,192061,74,89,300,S,,
2,Willisornis poecilinotus,6,15,2011,6,50,A7,I11,9729708,192166,71,86,280,S,,
2,Willisornis poecilinotus,6,15,2011,6,53,A7,I12,9729797,192161,162,177,280,S,,
2,Willisornis poecilinotus,6,15,2011,7,12,A8,I12,9729797,192161,142,157,280,M,,
2,Willisornis poecilinotus,6,15,2011,7,17,A8,I11.5,9729748,192164,75,90,300,M,Move muito!,
2,Willisornis poecilinotus,6,15,2011,7,22,A8,HI11,9729697,192210,340,355,300,M,,
2,Willisornis poecilinotus,6,15,2011,7,44,A9,H11.5,9729738,192264,296,311,320,M,Move muito!,
2,Willisornis poecilinotus,6,15,2011,7,48,A9,H11,9729692,192275,324,339,320,M,,
2,Willisornis poecilinotus,6,15,2011,7,54,A9,J11,9729703,192061,65,80,320,S,,
2,Willisornis poecilinotus,6,21,2011,10,33,4,I11.5,9729748,192164,167,182,4.9,S,Mf about 30m E,
2,Willisornis poecilinotus,6,21,2011,10,38,4,I10.5,9729654,192157,107,122,4.3,S,,
2,Willisornis poecilinotus,6,21,2011,10,41,4,I10,9729608,192153,37,52,4.5,S,,
2,Willisornis poecilinotus,6,21,2011,10,58,5,I11,9729708,192166,240,255,4.5,M,,
2,Willisornis poecilinotus,6,21,2011,11,1,5,J11,9729703,192061,139,154,4.5,S,,
2,Willisornis poecilinotus,6,21,2011,11,4,5,J10.5,9729666,192051,72,87,4.7,S,,
2,Willisornis poecilinotus,6,21,2011,11,23,6,J10.5,9729666,192051,75,90,4.2,S,,
2,Willisornis poecilinotus,6,21,2011,11,26,6,J11,9729703,192061,140,155,3.5,S,,
2,Willisornis poecilinotus,6,21,2011,11,40,7,J11,9729703,192061,134,149,3.9,M,,
2,Willisornis poecilinotus,6,21,2011,11,44,7,J10.5,9729666,192051,62,77,4,M,"Last night from about 6:30 to 8pm, we checked for ant-followers on the road from the camp to about U4 using the Black ATm reciever.  No sigs.",
2,Willisornis poecilinotus,6,22,2011,7,24,P1,J12,9729803,192069,250,265,7,M,,
2,Willisornis poecilinotus,6,22,2011,7,27,P1,J.4L12,9729798,192034,150,165,7,S,LLP: I think this is what Paul means by this location,
2,Willisornis poecilinotus,6,22,2011,7,32,P2,J11.5,9729750,192063,116,131,9,M,,
2,Willisornis poecilinotus,6,22,2011,7,35,P2,J11,9729703,192061,80,95,7,S,moving?,
2,Willisornis poecilinotus,6,22,2011,7,39,P3,I11,9729708,192166,42,57,9,M,moving?,
2,Willisornis poecilinotus,6,22,2011,7,42,P3,I11.5,9729748,192164,132,147,7,S,,
2,Willisornis poecilinotus,6,22,2011,7,46,P3,I12,9729797,192161,166,181,9,S,,
2,Willisornis poecilinotus,6,22,2011,8,31,P4,H12,9729823,192255,220,235,9,M,,
2,Willisornis poecilinotus,6,22,2011,8,36,P4,H11,9729692,192275,278,293,7,S,,
2,Willisornis poecilinotus,6,22,2011,8,40,P4,H10,9729607,192261,350,5,7,M,,
2,Willisornis poecilinotus,6,22,2011,9,47,P5,I11.5,9729748,192164,237,252,11,M,,
2,Willisornis poecilinotus,6,22,2011,9,50,P5,I11,9729708,192166,223,238,9,M,,
2,Willisornis poecilinotus,6,22,2011,9,53,P5,I10.5,9729654,192157,262,277,9,M,,
2,Willisornis poecilinotus,6,22,2011,9,56,P5,I10,9729608,192153,305,320,10,I,,
2,Willisornis poecilinotus,6,22,2011,10,0,P5,I9.5,9729552,192149,0,15,11.5,M,,
2,Willisornis poecilinotus,6,22,2011,10,30,P6,J11,9729703,192061,150,165,6,M,,
2,Willisornis poecilinotus,6,22,2011,10,34,P6,I11,9729708,192166,260,275,8,M,,
2,Willisornis poecilinotus,6,22,2011,10,37,P6,IJ11,9729702,192109,200,215,8.5,S,,
2,Willisornis poecilinotus,6,22,2011,16,7,E18,I10,9729608,192153,339,354,6,M,,
2,Willisornis poecilinotus,6,22,2011,16,9,E18,I10.5,9729654,192157,253,268,5,M,,
2,Willisornis poecilinotus,6,22,2011,16,14,E18,IJ11,9729702,192109,196,211,5,M,,
2,Willisornis poecilinotus,6,22,2011,16,45,,J11.5,9729750,192063,129,144,5,M,Moved after this bearing,
2,Willisornis poecilinotus,6,22,2011,16,51,E19,IJ11,9729702,192109,89,104,7,M,,
2,Willisornis poecilinotus,6,22,2011,16,53,E19,I11,9729708,192166,81,96,6,M,,
2,Willisornis poecilinotus,6,22,2011,16,56,E19,I10.5,9729654,192157,47,62,7,M,,
2,Willisornis poecilinotus,6,22,2011,16,59,E19,I11.5,9729748,192164,135,150,4,M,,
2,Willisornis poecilinotus,6,22,2011,17,28,E20,J11.5,9729750,192063,136,151,6,M,,
2,Willisornis poecilinotus,6,22,2011,17,31,E20,J11,9729703,192061,119,134,6,M,,
2,Willisornis poecilinotus,6,22,2011,17,34,E20,J10.6,9729662,192066,79,94,7,M,,
2,Willisornis poecilinotus,6,23,2011,16,28,,H11,9729692,192275,28,43,6,S,Blue reciever,
2,Willisornis poecilinotus,6,23,2011,16,32,P7,H12,9729823,192255,240,255,7,S,,
2,Willisornis poecilinotus,6,23,2011,16,36,P7,I12,9729797,192161,155,170,8,S,,
2,Willisornis poecilinotus,6,25,2011,7,29,E21,J11,9729703,192061,204,219,6,M,,
2,Willisornis poecilinotus,6,25,2011,7,32,E21,IJ11,9729702,192109,241,256,7,M,,
2,Willisornis poecilinotus,6,25,2011,7,35,E21,J10.5,9729666,192051,264,279,6,M,,
2,Willisornis poecilinotus,6,25,2011,7,55,,J11,9729703,192061,91,106,5,M,Moved after this bearing,
2,Willisornis poecilinotus,6,25,2011,8,1,E22,I11,9729708,192166,252,267,6,M,,
2,Willisornis poecilinotus,6,25,2011,8,3,E22,I10.5,9729654,192157,301,316,5,M,,
2,Willisornis poecilinotus,6,25,2011,8,7,E22,J11,9729703,192061,177,192,5,M,,
2,Willisornis poecilinotus,6,25,2011,8,23,E23,J11,9729703,192061,149,164,7,M,,
2,Willisornis poecilinotus,6,25,2011,8,26,E23,IJ11,9729702,192109,212,227,6,M,,
2,Willisornis poecilinotus,6,25,2011,8,29,E23,I10.5,9729654,192157,289,304,6,M,,
2,Willisornis poecilinotus,6,25,2011,8,59,E24,J11,9729703,192061,152,167,4,M,,
2,Willisornis poecilinotus,6,25,2011,9,2,E24,IJ11,9729702,192109,224,239,5,M,,
2,Willisornis poecilinotus,6,25,2011,9,7,E24,I10.5,9729654,192157,284,299,5,M,,
2,Willisornis poecilinotus,6,25,2011,9,32,E25,I11,9729708,192166,248,263,5,M,,
2,Willisornis poecilinotus,6,25,2011,9,37,E25,I10,9729608,192153,297,312,5,M,,
2,Willisornis poecilinotus,6,25,2011,9,39,E25,I9.5,9729552,192149,320,335,5,M,,
2,Willisornis poecilinotus,6,26,2011,6,31,E26,I11,9729708,192166,66,81,4,M,Mixed flock present (Tham c and company),
2,Willisornis poecilinotus,6,26,2011,6,33,E26,I11.5,9729748,192164,125,140,5,M,,
2,Willisornis poecilinotus,6,26,2011,6,37,E26,I10.5,9729654,192157,80,95,6,S,,
2,Willisornis poecilinotus,6,26,2011,7,1,E27,I11.5,9729748,192164,220,235,5,M,Mixed flock 50m away,
2,Willisornis poecilinotus,6,26,2011,7,4,E27,I11,9729708,192166,264,279,5,M,,
2,Willisornis poecilinotus,6,26,2011,7,7,E27,I10.5,9729654,192157,330,345,5,S,,
2,Willisornis poecilinotus,6,26,2011,7,28,E28,I11,9729708,192166,302,317,6,M,,
2,Willisornis poecilinotus,6,26,2011,7,31,E28,IJ11,9729702,192109,330,345,7,S,"May have moved south during fix, not sure.",
2,Willisornis poecilinotus,6,26,2011,7,35,E28,J11,9729703,192061,21,36,5,M,,
2,Willisornis poecilinotus,6,26,2011,7,38,E28,J11.5,9729750,192063,294,309,4,S,,
2,Willisornis poecilinotus,6,26,2011,7,55,E29,J11,9729703,192061,30,45,4,M,,
2,Willisornis poecilinotus,6,26,2011,7,57,E29,J11,9729703,192061,48,63,4,M,,
2,Willisornis poecilinotus,6,26,2011,8,0,E29,IJ11,9729702,192109,338,353,4,M,,
2,Willisornis poecilinotus,6,26,2011,8,3,E29,J11.5,9729750,192063,152,167,4,M,,
2,Willisornis poecilinotus,6,26,2011,8,28,E30,I11,9729708,192166,328,343,4,M,,
2,Willisornis poecilinotus,6,26,2011,8,31,E30,IJ11,9729702,192109,55,70,4,M,,
2,Willisornis poecilinotus,6,26,2011,8,34,E30,I11.5,9729748,192164,283,298,4,M,,
2,Willisornis poecilinotus,6,26,2011,15,22,8,H11,9729692,192275,305,320,2.5,S,,
2,Willisornis poecilinotus,6,26,2011,15,26,8,HI11,9729697,192210,51,66,3.5,S,,
2,Willisornis poecilinotus,6,26,2011,16,4,9,I11,9729708,192166,35,50,2.5,S,,
2,Willisornis poecilinotus,6,26,2011,16,8,9,I11.5,9729748,192164,84,99,2,M,,
2,Willisornis poecilinotus,6,26,2011,16,12,9,I12,9729797,192161,143,158,3,M,,
2,Willisornis poecilinotus,6,26,2011,16,27,10,I11,9729708,192166,62,77,3,M,,
2,Willisornis poecilinotus,6,26,2011,16,30,10,I11.5,9729748,192164,93,108,3,M,,
2,Willisornis poecilinotus,6,26,2011,16,33,10,I12,9729797,192161,141,156,3,M,,
3,Percnostola rufifrons,6,7,2011,11,10,,J11,9729703,192061,7,22,5,,imprecise,
3,Percnostola rufifrons,6,7,2011,11,18,1,J12,9729803,192069,58,73,3.8,M,super close,
3,Percnostola rufifrons,6,7,2011,11,21,1,J12.5,9729850,192072,188,203,4.1,M,,
3,Percnostola rufifrons,6,7,2011,11,37,2,J12.5,9729850,192072,157,172,4.5,M,,
3,Percnostola rufifrons,6,7,2011,11,41,2,IJ13,9729898,192119,200,215,4.5,M,,
3,Percnostola rufifrons,6,7,2011,11,44,2,I13,9729908,192168,237,252,5,M,,
3,Percnostola rufifrons,6,8,2011,14,19,3,J11,9729703,192061,73,88,4.2,S,,
3,Percnostola rufifrons,6,8,2011,14,21,3,J11.5,9729750,192063,105,120,4.2,S,,
3,Percnostola rufifrons,6,8,2011,14,25,3,IJ11,9729702,192109,3,18,4.2,M,no sign of AS,
3,Percnostola rufifrons,6,8,2011,15,9,E5,IJ11,9729702,192109,335,350,3,M,,
3,Percnostola rufifrons,6,8,2011,15,13,E5,J11,9729703,192061,30,45,3,M,,
3,Percnostola rufifrons,6,8,2011,15,38,,JL11,9729704,192008,60,75,3,M,,
3,Percnostola rufifrons,6,8,2011,15,41,,J11,9729703,192061,327,342,3,M,,
3,Percnostola rufifrons,6,8,2011,15,45,E6,J11.5,9729750,192063,352,7,3,M,,
3,Percnostola rufifrons,6,8,2011,15,48,E6,J12,9729803,192069,245,260,2,M,,
3,Percnostola rufifrons,6,8,2011,15,52,E6,JL12,9729802,192017,157,172,2,M,,
3,Percnostola rufifrons,6,8,2011,16,10,E7,JL12,9729802,192017,208,223,2,M,,
3,Percnostola rufifrons,6,8,2011,16,14,E7,J12,9729803,192069,250,265,2,M,,
3,Percnostola rufifrons,6,8,2011,16,18,E7,J11.5,9729750,192063,305,320,3,M,,
3,Percnostola rufifrons,6,8,2011,17,5,E8,I11.5,9729748,192164,302,317,3,S,,
3,Percnostola rufifrons,6,8,2011,17,8,E8,I12,9729797,192161,242,257,3,S,,
3,Percnostola rufifrons,6,8,2011,17,12,E8,JL12,9729802,192017,165,180,2,M,,
3,Percnostola rufifrons,6,8,2011,17,34,E9,J11.5,9729750,192063,322,337,3,S,,
3,Percnostola rufifrons,6,8,2011,17,38,E9,J12,9729803,192069,222,237,2,M,,
3,Percnostola rufifrons,6,8,2011,17,41,E9,JL12,9729802,192017,170,185,3,M,,
3,Percnostola rufifrons,6,9,2011,7,57,A1,I13,9729908,192168,175,190,270,S,,
3,Percnostola rufifrons,6,9,2011,8,1,A1,HI13,9729891,192217,242,257,260,M,,
3,Percnostola rufifrons,6,9,2011,8,5,A1,H13,9729893,192272,279,294,270,M,,
3,Percnostola rufifrons,6,9,2011,8,25,A2,H13,9729893,192272,289,304,280,M,,
3,Percnostola rufifrons,6,9,2011,8,28,A2,H12.5,9729835,192273,261,276,290,M,movese p/ auto ledo (unsure about this phrase),
3,Percnostola rufifrons,6,9,2011,8,33,A2,H12,9729823,192255,249,264,290,M,,
3,Percnostola rufifrons,6,9,2011,8,35,A2,H11.5,9729738,192264,337,352,270,S,,
3,Percnostola rufifrons,6,9,2011,10,10,A3,J12,9729803,192069,161,176,260,S,,
3,Percnostola rufifrons,6,9,2011,10,11,A3,J11.5,9729750,192063,104,119,260,M,,
3,Percnostola rufifrons,6,9,2011,10,15,A3,J11,9729703,192061,79,94,260,M,,
3,Percnostola rufifrons,6,9,2011,10,30,A4,J11,9729703,192061,74,89,230,M,,
3,Percnostola rufifrons,6,9,2011,10,33,A4,J11.5,9729750,192063,45,60,260,M,,
3,Percnostola rufifrons,6,9,2011,10,36,A4,I11,9729708,192166,359,14,260,M,,
3,Percnostola rufifrons,6,9,2011,11,0,A5,IJ11,9729702,192109,46,61,270,M,,
3,Percnostola rufifrons,6,9,2011,11,5,A5,I11,9729708,192166,319,334,270,M,,
3,Percnostola rufifrons,6,9,2011,11,8,A5,I11.5,9729748,192164,307,322,270,M,,
3,Percnostola rufifrons,6,12,2011,15,19,A6,J11,9729703,192061,34,49,260,M,,
3,Percnostola rufifrons,6,12,2011,15,24,A6,IJ11,9729702,192109,0,15,280,M,mov. Minto( ? ),
3,Percnostola rufifrons,6,12,2011,15,29,A6,I11.5,9729748,192164,295,310,280,M,,
3,Percnostola rufifrons,6,12,2011,15,49,A7,I11,9729708,192166,323,338,270,M,super movendo!,
3,Percnostola rufifrons,6,12,2011,15,53,A7,J11,9729703,192061,61,76,260,M,,
3,Percnostola rufifrons,6,12,2011,15,59,A7,J12,9729803,192069,177,192,260,M,,
3,Percnostola rufifrons,6,13,2011,11,54,A8,J11,9729703,192061,47,62,270,S,,
3,Percnostola rufifrons,6,13,2011,11,57,A8,IJ11,9729702,192109,351,6,280,S,,
3,Percnostola rufifrons,6,13,2011,12,0,A8,I11,9729708,192166,332,347,290,M,,
3,Percnostola rufifrons,6,13,2011,12,28,A9,I11.5,9729748,192164,320,335,270,M,,
3,Percnostola rufifrons,6,13,2011,12,31,A9,IJ11,9729702,192109,6,21,270,S,,
3,Percnostola rufifrons,6,13,2011,12,34,A9,J11,9729703,192061,33,48,280,S,,
3,Percnostola rufifrons,6,14,2011,7,23,E10,J11,9729703,192061,41,56,4,M,,
3,Percnostola rufifrons,6,14,2011,7,26,E10,IJ11,9729702,192109,27,42,4,M,,
3,Percnostola rufifrons,6,14,2011,7,28,E10,I11,9729708,192166,322,337,4,M,,
3,Percnostola rufifrons,6,14,2011,7,31,E10,I11.5,9729748,192164,318,333,4,M,,
3,Percnostola rufifrons,6,14,2011,7,59,E11,I11,9729708,192166,351,6,4,M,,
3,Percnostola rufifrons,6,14,2011,8,2,E11,I11.5,9729748,192164,342,357,3,M,,
3,Percnostola rufifrons,6,14,2011,8,5,E11,I12,9729797,192161,268,283,3,M,,
3,Percnostola rufifrons,6,14,2011,8,9,E11,I12.5,9729845,192173,201,216,8,I,,
3,Percnostola rufifrons,6,14,2011,8,37,,IJ12,9729797,192111,35,50,12,M,"After fix 11 the cable broke, but I didn't realize it and continued attempting to collect bearings until I completely lost all signals. You can try to peace together 2 fixes if you want--from 8:37 to 8:49 is one potential fix, and from 9:11 to 9:15 is another potential fix.",
3,Percnostola rufifrons,6,14,2011,8,44,,I13,9729908,192168,240,255,16,I,,
3,Percnostola rufifrons,6,14,2011,9,11,,J12,9729803,192069,348,3,12,M,,
3,Percnostola rufifrons,6,14,2011,9,15,,J12.5,9729850,192072,294,309,14,I,,
3,Percnostola rufifrons,6,14,2011,9,49,,J13,9729912,192074,198,213,16,I,,
3,Percnostola rufifrons,6,14,2011,14,30,E12,L12,9729817,191970,90,105,5,S,,
3,Percnostola rufifrons,6,14,2011,14,35,E12,M12.5,9729875,191877,113,128,9,M,,
3,Percnostola rufifrons,6,14,2011,14,38,E12,M13,9729925,191884,144,159,11,M,,
3,Percnostola rufifrons,6,15,2011,6,56,A10,I12,9729797,192161,67,82,280,S,,
3,Percnostola rufifrons,6,15,2011,6,59,A10,HI12,9729787,192212,1,16,290,M,,
3,Percnostola rufifrons,6,15,2011,7,4,A10,I12.5,9729845,192173,147,162,280,M,,
3,Percnostola rufifrons,6,15,2011,7,27,A11,HI11,9729697,192210,5,20,320,M,Move muito!,
3,Percnostola rufifrons,6,15,2011,7,31,A11,H11,9729692,192275,347,2,320,M,,
3,Percnostola rufifrons,6,15,2011,7,35,A11,H11.5,9729738,192264,325,340,320,M,Move muito!,
3,,6,21,2011,10,22,4,H11,9729692,192275,314,329,4.9,M,,
3,,6,21,2011,10,26,4,I11,9729708,192166,16,31,4.5,M,,
3,,6,21,2011,10,29,4,I11.5,9729748,192164,8,23,4,M,,
3,,6,21,2011,10,45,5,I11,9729708,192166,11,26,4.1,S,,
3,,6,21,2011,10,48,5,I11.5,9729748,192164,3,18,4.1,M,,
3,,6,21,2011,10,51,5,I12,9729797,192161,302,317,3.7,S,Mf about 25m east of here - no AS,
3,,6,21,2011,11,8,6,J11,9729703,192061,62,77,4.7,S,,
3,,6,21,2011,11,11,6,J11.5,9729750,192063,82,97,4.7,S,,
3,,6,21,2011,11,15,6,J12,9729803,192069,140,155,4.7,M,,
3,,6,21,2011,11,30,7,IJ11,9729702,192109,16,31,4.2,S,,
3,,6,21,2011,11,33,7,J11,9729703,192061,62,77,4.6,S,,
3,,6,21,2011,11,36,7,J10.9,9729690,192069,87,102,4.6,M,,
3,Percnostola rufifrons,6,22,2011,6,53,P1,H10,9729607,192261,3,18,9,M,,
3,Percnostola rufifrons,6,22,2011,6,57,P1,H11,9729692,192275,286,301,9,M,,
3,Percnostola rufifrons,6,22,2011,7,2,P1,H11.5,9729738,192264,244,259,10,M,,
3,Percnostola rufifrons,6,22,2011,7,50,P2,I12,9729797,192161,3,18,9,M,,
3,Percnostola rufifrons,6,22,2011,7,53,P2,IJ12,9729797,192111,44,59,9,M,,
3,Percnostola rufifrons,6,22,2011,7,56,P2,J12,9729803,192069,64,79,7,M,,
3,Percnostola rufifrons,6,22,2011,8,0,P2,J13,9729912,192074,128,143,7,M,,
3,Percnostola rufifrons,6,22,2011,9,16,,H11,9729692,192275,46,61,10,S,moved,
3,Percnostola rufifrons,6,22,2011,9,20,P3,H12,9729823,192255,324,339,8,M,,
3,Percnostola rufifrons,6,22,2011,9,24,P3,H12.5,9729835,192273,282,297,9,M,,
3,Percnostola rufifrons,6,22,2011,9,28,P3,H13,9729893,192272,223,238,11,I,,
3,Percnostola rufifrons,6,22,2011,9,36,P3,I12,9729797,192161,63,78,7,S,,
3,Percnostola rufifrons,6,22,2011,10,12,P4,I12,9729797,192161,247,262,8,M,,
